"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"Lead Status Flow","Lead","workflow_state",1,0,1,"8e1df8bcc9","Open","Sales User","0","status","Open",0,"","","38b3af46ca","Open","Call Done","Call Done","Sales User",1,""
"","","","","","","c54690c385","Call Done","Sales User","0","status","Call Done",0,"","","c3e6e44164","Call Done","Meeting Scheduled","Meeting Scheduled","Sales User",1,""
"","","","","","","3016fa5e74","Meeting Scheduled","Sales User","0","status","Meeting Scheduled",0,"","","7bec4d7eed","Meeting Scheduled","Meeting Conducted","Meeting Conducted","Sales User",1,""
"","","","","","","3d3f6e40ea","Meeting Conducted","Sales User","0","status","Meeting Conducted",0,"","","a5f9af2801","Meeting Conducted","Documents Received","Documents Received","Sales User",1,""
"","","","","","","e22afd3ca0","Documents Received","Sales User","0","status","Documents Received",0,"","","bfe3424a6e","Documents Received","Lender Selection","Lender Selection","Sales User",1,""
"","","","","","","7936d64ac5","Lender Selection","Sales User","0","status","Lender Selection",0,"","","401073bc3a","Lender Selection","Login Done","Login Done","Sales User",1,""
"","","","","","","f4fa6142d8","Login Done","Sales User","0","status","Login Done",0,"","","ede346c2af","Login Done","Additional Doc Required","Additional Doc Required","Sales User",1,""
"","","","","","","35f1baa793","Additional Doc Required","Sales User","0","status","Additional Doc Required",0,"","","164096bac7","Sanctioned","Sanctioned","Disbursement Doc List","Sales User",1,""
"","","","","","","c4a28677d1","Sanctioned","Sales User","0","status","Sanctioned",0,"","","95175456d0","Disbursement Doc List","Disbursement Doc Submitted","Disbursed","Sales User",1,""
"","","","","","","63ada4d8db","Disbursement Doc List","Sales User","0","status","Disbursement Doc List",0,"","","e7f0dde2e0","Disbursed","Amount Credited","Amount Credited","Sales User",1,""
"","","","","","","0f1b750d8f","Disbursement Doc Submitted","Sales User","0","status","Disbursement Doc Submitted",0,"","","","","","","","",""
"","","","","","","6c582e668f","Disbursed","Sales User","0","status","Disbursed",0,"","","","","","","","",""
"","","","","","","5878b86678","Amount Credited","Sales User","0","status","Amount Credited",0,"","","","","","","","",""
