Territory Name,Parent Territory,Is Group,Territory Manager,old_parent,ID (Targets),Item Group (Targets),Fiscal Year (Targets),Target Qty (Targets),Target  Amount (Targets),Target Distribution (Targets)
CST,Central,0,,Central,,,,,,
Masjid,Central,0,,Central,,,,,,
Sandust Road,Central,0,,Central,,,,,,
Byculla,Central,0,,Central,,,,,,
Chinchpokli,Central,0,,Central,,,,,,
Curry Road,Central,0,,Central,,,,,,
Parel,Central,0,,Central,,,,,,
Matunga (central),Central,0,,Central,,,,,,
Sion,Central,0,,Central,,,,,,
Kurla,Central,0,,Central,,,,,,
Vidyavihar,Central,0,,Central,,,,,,
Ghatkopar,Central,0,,Central,,,,,,
Vikhroli,Central,0,,Central,,,,,,
Kanjurmarg,Central,0,,Central,,,,,,
Bhandup,Central,0,,Central,,,,,,
Nahur,Central,0,,Central,,,,,,
Mulund,Central,0,,Central,,,,,,
Thane,Central,0,,Central,,,,,,
Kalva,Central,0,,Central,,,,,,
Mumbra,Central,0,,Central,,,,,,
Diva,Central,0,,Central,,,,,,
Koper,Central,0,,Central,,,,,,
Dombivli,Central,0,,Central,,,,,,
Thakurli,Central,0,,Central,,,,,,
Kalyan,Central,0,,Central,,,,,,
Vithalwadi,Central,0,,Central,,,,,,
Ulhas Nagar,Central,0,,Central,,,,,,
Ambernath,Central,0,,Central,,,,,,
Badlapur,Central,0,,Central,,,,,,
Vangani,Central,0,,Central,,,,,,
Shelu,Central,0,,Central,,,,,,
Neral,Central,0,,Central,,,,,,
Bhivpuri Road,Central,0,,Central,,,,,,
Karjat,Central,0,,Central,,,,,,
Palasdhari,Central,0,,Central,,,,,,
Kelavli,Central,0,,Central,,,,,,
Dolavli,Central,0,,Central,,,,,,
Lowjee,Central,0,,Central,,,,,,
Khopoli,Central,0,,Central,,,,,,
Shahad,Central,0,,Central,,,,,,
Ambivli,Central,0,,Central,,,,,,
Titwala,Central,0,,Central,,,,,,
Khadavli,Central,0,,Central,,,,,,
Vasind,Central,0,,Central,,,,,,
Asangaon,Central,0,,Central,,,,,,
Atgaon,Central,0,,Central,,,,,,
Thansit,Central,0,,Central,,,,,,
Khardi,Central,0,,Central,,,,,,
Umbermali,Central,0,,Central,,,,,,
Kasara,Central,0,,Central,,,,,,
Churchgate,Western,0,,Western,,,,,,
Marine Lines,Western,0,,Western,,,,,,
Charni Road/Grant Road,Western,0,,Western,,,,,,
Mumbai Central,Western,0,,Western,,,,,,
Mahalakshmi,Western,0,,Western,,,,,,
Lower parel,Western,0,,Western,,,,,,
Prabhadevi,Western,0,,Western,,,,,,
Dadar,Western,0,,Western,,,,,,
Matunga (western),Western,0,,Western,,,,,,
Mahim Jn,Western,0,,Western,,,,,,
Bandra,Western,0,,Western,,,,,,
Khar road,Western,0,,Western,,,,,,
Santa Cruz,Western,0,,Western,,,,,,
Vile Parle,Western,0,,Western,,,,,,
Andheri,Western,0,,Western,,,,,,
Jogeshwari,Western,0,,Western,,,,,,
Ram Mandir,Western,0,,Western,,,,,,
Goregaon,Western,0,,Western,,,,,,
Malad,Western,0,,Western,,,,,,
Kandivli,Western,0,,Western,,,,,,
Borivali,Western,0,,Western,,,,,,
Dahisar,Western,0,,Western,,,,,,
Meera Road,Western,0,,Western,,,,,,
Bhayander,Western,0,,Western,,,,,,
Naigaon,Western,0,,Western,,,,,,
Vasai Road,Western,0,,Western,,,,,,
Nalasopara,Western,0,,Western,,,,,,
Virar,Western,0,,Western,,,,,,
Vaitarana,Western,0,,Western,,,,,,
Saphale,Western,0,,Western,,,,,,
Kelva Road,Western,0,,Western,,,,,,
Palghar,Western,0,,Western,,,,,,
Umroli Road,Western,0,,Western,,,,,,
Boisar,Western,0,,Western,,,,,,
Vangaon,Western,0,,Western,,,,,,
Dahanu Road,Western,0,,Western,,,,,,
Ray Road,Harbour,0,,Harbour,,,,,,
Cotton green,Harbour,0,,Harbour,,,,,,
Sewri,Harbour,0,,Harbour,,,,,,
Vadala Road,Harbour,0,,Harbour,,,,,,
Kings circle,Harbour,0,,Harbour,,,,,,
GTB nagar,Harbour,0,,Harbour,,,,,,
Chunabatti,Harbour,0,,Harbour,,,,,,
Tilak Nagar,Harbour,0,,Harbour,,,,,,
Chembur,Harbour,0,,Harbour,,,,,,
Govandi,Harbour,0,,Harbour,,,,,,
Mankhurd,Harbour,0,,Harbour,,,,,,
Vashi,Harbour,0,,Harbour,,,,,,
Sanpada,Harbour,0,,Harbour,,,,,,
Juinagar,Harbour,0,,Harbour,,,,,,
Nerul,Harbour,0,,Harbour,,,,,,
Seawood Darave,Harbour,0,,Harbour,,,,,,
Belapur CBD,Harbour,0,,Harbour,,,,,,
Dharavi,Harbour,0,,Harbour,,,,,,
Kharghar,Harbour,0,,Harbour,,,,,,
Manasarovar,Harbour,0,,Harbour,,,,,,
Khandeshwar,Harbour,0,,Harbour,,,,,,
Panvel,Harbour,0,,Harbour,,,,,,
Dockyard road,Harbour,0,,Harbour,,,,,,
Mumbai - Other,Mumbai,0,,Mumbai,,,,,,
Ahmedabad,Gujarat,0,,Gujarat,,,,,,
Surat,Gujarat,0,,Gujarat,,,,,,
Vadodara,Gujarat,0,,Gujarat,,,,,,
Gujarat - Other,Gujarat,0,,Gujarat,,,,,,
